 Marque 	 Référence 	 Article 	 Prix  de  vente  HT 	 Résumé 	 lien  vers  le  produit 
 APE  SNACKS 	 APE-PUFFS-SALT 	 PUFFS  -  Boules  de  noix  de  coco  soufflés  légèrement  salé 	 19.20 	 Ss  gluten  /  Ss  huile  de  palme  /  Ss  sucre  ajouté  -  24  x  25  gr 	 https://vegetalfood.fr/fr/chips-et-pop-corn/34-puffs-boules-de-noix-de-coco-souffles-legerement-sale.html 
 APE  SNACKS 	 APE-PAL-SESAM 	 MINI  PALETS  NOIX  DE  COCO  GRAINES  DE  SÉSAME  APE 	 18.90 	 Ss  gluten  /  Ss  huile  de  palme  /  Ss  sucre  ajouté  -  10  x  30  gr 	 https://vegetalfood.fr/fr/snack-de-noix-fruits-et-legumes/190-mini-palets-noix-de-coco-graines-de-sesame-ape.html 
 APE  SNACKS 	 APE-PUFFS-CHILLI 	 Boules  soufflées  saveur  Chilli  Thaï 	 19.20 	 Ss  gluten  /  Ss  huile  de  palme  /  Ss  sucre  ajouté  -  24  x  25  gr 	 https://vegetalfood.fr/fr/chips-et-pop-corn/218-boules-soufflees-saveur-chilli-thai.html 
 APE  SNACKS 	 APE-PUFFS-CHEESE 	 Boules  soufflées  saveur  Fromage 	 19.20 	 Ss  gluten  /  Ss  huile  de  palme  /  Ss  sucre  ajouté  -  24  x  25  gr 	 https://vegetalfood.fr/fr/chips-et-pop-corn/219-boules-soufflees-saveur-fromage.html 
 APE  SNACKS 	 APE-BITES-CHIA 	 Mini  Palets  Noix  de  Coco  &  Graines  de  Chia 	 18.90 	 Ss  gluten  /  Ss  huile  de  palme  /  Ss  sucre  ajouté  -  10  x  30  gr 	 https://vegetalfood.fr/fr/chips-et-pop-corn/220-mini-palets-noix-de-coco-graines-de-chia.html 
 APE  SNACKS 	 APE-BITES-NATURE 	 Mini  Palets  Noix  de  Coco  Nature 	 18.90 	 Ss  gluten  /  Ss  huile  de  palme  /  Ss  sucre  ajouté  -  10  x  30  gr 	 https://vegetalfood.fr/fr/chips-et-pop-corn/221-mini-palets-noix-de-coco-nature.html 
 APE  SNACKS 	 APE-BITES-CHOCO 	 Mini  Palets  Noix  de  Coco  &  Chocolat 	 18.90 	 Ss  gluten  /  Ss  huile  de  palme  /  Ss  sucre  ajouté  -  10  x  30  gr 	 https://vegetalfood.fr/fr/chips-et-pop-corn/222-mini-palets-noix-de-coco-chocolat.html 
 APE  SNACKS 	 APE-CHIPS-SALT 	 Chips  de  Noix  de  Coco  Salées 	 12.00 	 Ss  gluten  /  Ss  huile  de  palme  /  Ss  sucre  ajouté  -  10  x  20  gr 	 https://vegetalfood.fr/fr/chips-et-pop-corn/223-chips-de-noix-de-coco-salees.html 
 APE  SNACKS 	 APE-CHIPS-CHOCO 	 Chips  de  Noix  de  Coco  au  Chocolat 	 12.00 	 Ss  gluten  /  Ss  huile  de  palme  /  Ss  sucre  ajouté  -  10  x  20  gr 	 https://vegetalfood.fr/fr/chips-et-pop-corn/225-chips-de-noix-de-coco-au-chocolat.html 
